id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,bass_level,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.55,0.05,0.08
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.45,0.72,0.04
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.78,0.15,0.06
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.38,0.85,0.03
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.82,0.04,0.10
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.20,0.95,0.02
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.42,0.60,0.05
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.70,0.88,0.03
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.40,0.80,0.04
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.58,0.08,0.07
11,Street Pulse,Cipher Block,hip-hop,motivated,0.85,95,0.72,0.86,0.08,0.92,0.02,0.65
12,Velvet Nights,Sable Monroe,r&b,romantic,0.55,88,0.78,0.74,0.32,0.68,0.06,0.12
13,Morning Sonata,Clara Voss,classical,peaceful,0.22,58,0.70,0.28,0.98,0.12,0.97,0.02
14,Dusty Road Home,The Wayfarers,country,nostalgic,0.48,92,0.62,0.55,0.75,0.35,0.10,0.08
15,Iron Cathedral,Voidbreaker,metal,aggressive,0.97,168,0.30,0.52,0.04,0.88,0.20,0.05
16,Neon Pulse,Axiom Drop,edm,euphoric,0.95,128,0.88,0.95,0.03,0.90,0.78,0.04
17,Island Breeze,Coral Root,reggae,carefree,0.58,82,0.85,0.80,0.55,0.72,0.12,0.09
18,Rainy Window Blues,Old Shade,blues,melancholic,0.38,68,0.28,0.42,0.82,0.50,0.35,0.06
19,Campfire Hymn,River & Rye,folk,warm,0.32,76,0.65,0.45,0.91,0.18,0.15,0.07
20,Fuego Suave,La Candela,latin,sensual,0.78,102,0.82,0.92,0.28,0.65,0.14,0.11
